trade_id,timestamp_et,symbol,sig,atr_scale,entry_px,exit_px,exit_reason,pnl_pct,holding_bars,result
8171acff,2025-04-03 09:55:00,QQQ,0.3388,1.0,458.5529,457.9,신호소멸,-0.001424,0,0.0
57247f3b,2025-04-03 10:17:00,QQQ,0.2716,1.0,456.6228,455.17,로컬저점,-0.003182,0,0.0
a40edc31,2025-04-03 10:50:00,QQQ,0.2505,1.0,453.1927,453.1,신호소멸,-0.000205,0,0.0
6119ac50,2025-04-03 11:13:00,QQQ,0.2627,1.0,453.8127,454.76,트레일링,0.002087,0,1.0
5786173e,2025-04-03 11:49:00,QQQ,0.2747,1.0,455.6928,456.3547,신호소멸,0.001453,0,1.0
6bbb9b0a,2025-04-03 12:08:00,QQQ,0.3477,1.0,456.1228,457.62,트레일링,0.003282,0,1.0
ac3295b5,2025-04-03 12:21:00,QQQ,0.312,1.0,457.6608,455.303,신호소멸,-0.005152,0,0.0
2daf8244,2025-04-03 13:46:00,QQQ,0.4081,1.0,455.6628,454.23,신호소멸,-0.003144,0,0.0
8a640396,2025-04-03 14:01:00,QQQ,0.2968,1.0,454.2327,452.82,신호소멸,-0.00311,0,0.0
2ed93d1a,2025-04-03 14:13:00,QQQ,0.3996,1.0,453.0627,452.82,신호소멸,-0.000536,0,0.0
c8ed0711,2025-04-03 14:28:00,QQQ,0.2624,1.0,452.6726,453.89,트레일링,0.002689,0,1.0
f45f519f,2025-04-03 14:58:00,QQQ,0.3818,1.0,454.4127,452.7403,신호소멸,-0.00368,0,0.0
3bd16070,2025-04-03 15:22:00,QQQ,0.2675,1.0,452.4076,451.69,신호소멸,-0.001586,0,0.0
3e98e2b0,2025-04-03 15:37:00,QQQ,0.2778,1.0,450.9695,451.52,트레일링,0.001221,0,1.0
9fd2b0ae,2025-04-04 09:56:00,QQQ,0.2521,1.0,436.3318,437.685,트레일링,0.003101,0,1.0
def2ef7b,2025-04-04 10:08:00,QQQ,0.282,1.0,436.7218,433.7,신호소멸,-0.006919,0,0.0
1bd63362,2025-04-04 10:49:00,QQQ,0.2754,1.0,428.8814,429.86,트레일링,0.002282,0,1.0
e59730bb,2025-04-04 10:56:00,QQQ,0.2603,1.0,429.4715,430.93,트레일링,0.003396,0,1.0
04993916,2025-04-04 11:06:00,QQQ,0.2105,1.0,434.3967,436.96,신호소멸,0.005901,0,1.0
c088668a,2025-04-04 11:25:00,QQQ,0.2527,1.0,437.1419,432.7704,손절,-0.01,0,0.0
c10db217,2025-04-04 11:43:00,QQQ,0.2451,1.0,433.0617,433.94,트레일링,0.002028,0,1.0
